TimeStamp,Count
20110517,3699
20110518,2003
20110519,1828
20110520,3904
20110521,4252
20110522,4265
20110523,4131
20110524,3675
20110525,1852
20110526,1849
20110527,3814
20110528,4101
20110529,4197
20110530,4056
20110601,3433
20110602,1761
20110603,1802
20110604,3216
20110605,3969
20110606,4198
20110607,4253
20110608,3869
20110609,1912
20110610,1878
20110611,4092
20110612,4303
20110613,4280
20110614,4302
20110615,3794
20110616,1943
20110617,1910
20110618,3990
20110619,4325
20110620,4237
20110621,4254
20110622,3834
20110623,1967
20110624,1906
20110625,3964
20110626,4279
20110627,4402
20110628,4280
20110629,3810
20110630,1924
20110631,1909
20110701,3880
20110702,4301
20110703,4336
20110704,4586
20110705,4024
20110706,1782
20110707,1979
20110708,4000
20110709,4343
20110710,4464
20110711,4490
20110712,3931
20110713,1932
20110714,1930
20110715,3568
20110716,4244
20110717,4324
20110718,4301
20110719,3924
20110720,2060
20110721,1976
20110722,3853
20110723,4213
20110724,4381
20110725,4401
20110726,3804
20110727,1944
20110728,1969
20110729,3689
20110730,4020
20110731,4099
20110801,3924
20110802,3685
20110803,1872
20110804,1888
20110805,3309
20110806,4152
20110807,4375
20110808,4255
20110809,3774
20110810,2058
20110811,2022
20110812,3958
20110813,4354
20110814,4320
20110815,4238
20110816,3791
20110817,2094
20110818,1956
20110819,4059
20110820,4321
20110821,4427
20110822,4363
20110823,3896
20110824,2079
20110825,2020
20110826,4052
20110827,4162
20110828,4296
20110829,4074
20110830,3788
20110901,1908
20110902,1913
20110903,3602
20110904,4057
20110905,4123
20110906,3944
20110907,3680
20110908,1928
20110909,2107
20110910,3829
20110911,4232
20110912,4251
20110913,4184
20110914,3917
20110915,2096
20110916,2085
20110917,3916
20110918,4332
20110919,4444
20110920,4298
20110921,3919
20110922,2144
20110923,2087
20110924,4012
20110925,4203
20110926,3892
20110927,4144
20110928,3653
20110929,1956
20110930,1976
20110931,3801
20111001,4094
20111002,4341
20111003,4421
20111004,4133
20111005,2127
20111006,2159
20111007,3998
20111008,4316
20111009,4390
20111010,4439
20111011,3952
20111012,2126
20111013,2213
20111014,4216
20111015,4443
20111016,4734
20111017,4672
20111018,4209
20111019,2329
20111020,2323
20111021,4377
20111022,4652
20111023,4531
20111024,3915
20111025,3532
20111026,2202
20111027,2243
20111028,4223
20111029,4632
20111030,4617
20111101,4507
20111102,4181
20111103,2318
20111104,2271
20111105,4247
20111106,4607
20111107,4834
20111108,4533
20111109,4044
20111110,2333
20111111,2303
20111112,4323
20111113,4651
20111114,4659
20111115,4471
20111116,3930
20111117,2230
20111118,2105
20111119,4143
20111120,4255
20111121,4307
20111122,3863
20111123,3202
20111124,1720
20111125,1381
20111126,2417
20111127,3162
20111128,3661
20111129,3661
20111130,3122
20111131,1771
20120001,1568
20120002,3046
20120003,4074
20120004,4532
20120005,4725
20120006,4183
20120007,2487
20120008,2482
20120009,4389
20120010,4641
20120011,4838
20120012,4838
20120013,4429
20120014,2308
20120015,2468
20120016,4185
20120017,4649
20120018,4689
20120019,4745
20120020,4292
20120021,2524
20120022,2458
20120023,4395
20120024,4861
20120025,4873
20120026,4570
20120027,4291
20120028,2491
20120029,2512
20120030,4542
20120031,4991
20120101,4965
20120102,5023
20120103,4612
20120104,2614
20120105,2628
20120106,4628
20120107,5057
20120108,5301
20120109,5267
20120110,4754
20120111,2656
20120112,2750
20120113,4878
20120114,5003
20120115,5367
20120116,5344
20120117,4888
20120118,2562
20120119,2873
20120120,4907
20120121,5226
20120122,5451
20120123,5519
20120124,4959
20120125,2892
20120126,2877
20120127,4832
20120128,5344
20120129,5253
20120201,5366
20120202,4918
20120203,2793
20120204,2818
20120205,4948
20120206,5422
20120207,5296
20120208,4957
20120209,4807
20120210,2684
20120211,2763
20120212,5112
20120213,5375
20120214,5495
20120215,5425
20120216,4836
20120217,2703
20120218,2696
20120219,5065
20120220,5332
20120221,5504
20120222,5486
20120223,4683
20120224,2712
20120225,2615
20120226,5050
20120227,5411
20120228,5522
20120229,5476
20120230,4874
20120231,2752
20120301,2699
20120302,4979
20120303,5474
20120304,5525
20120305,5173
20120306,3857
20120307,2837
20120308,2610
20120309,4272
20120310,5184
20120311,5481
20120312,5599
20120313,4879
20120314,2650
20120315,2799
20120316,5072
20120317,5372
20120318,5757
20120319,5770
20120320,5086
20120321,2907
20120322,2914
20120323,5339
20120324,5509
20120325,5519
20120326,5431
20120327,5003
20120328,2859
20120329,2699
20120330,4622
20120401,4373
20120402,5368
20120403,5422
20120404,5086
20120405,2898
20120406,2617
20120407,4787
20120408,5294
20120409,5472
20120410,5637
20120411,4960
20120412,2623
20120413,2514
20120414,5177
20120415,5520
20120416,5497
20120417,5131
20120418,4920
20120419,2669
20120420,2591
20120421,4931
20120422,5491
20120423,5489
20120424,5392
20120425,4832
20120426,2534
20120427,2376
20120428,4176
20120429,5258
20120430,5433
20120431,5268
20120501,4877
20120502,2545
20120503,2549
20120504,4771
20120505,5225
20120506,5383
20120507,5479
20120508,4881
20120509,2523
20120510,2506
20120511,4948
20120512,5357
20120513,5747
20120514,5589
20120515,5069
20120516,2569
20120517,2522
20120518,5352
20120519,5643
20120520,5819
20120521,5855
